File Name,Bad Frequency %
Yeat - Sorry Bout That.mp3,31.792673
Tay-K - Lemonade.mp3,32.573135
Ken Carson - Murda Musik (feat. Destroy Lonely).mp3,32.71697
KANKAN - Wokeup.mp3,32.72402
Playboi Carti - Beno!.mp3,32.988525
XXXTENTACION - A GHETTO CHRISTMAS CAROL.mp3,33.310135
Metro Boomin - Raindrops (Insane) [with Travis Scott].mp3,33.885036
Lil Baby - Pure Cocaine.mp3,35.950237
Yeat - Off Tha Lot.mp3,36.616497
Yeat - Insidë out (feat. SeptembersRich).mp3,36.632755
Lil Uzi Vert - Futsal Shuffle 2020 - Bonus Track.mp3,36.764652
Yeat - Gët Busy.mp3,38.393143
"21 Savage, Metro Boomin - X (feat. Future).mp3",45.415863
